,followers_count,alternate_names,name,url,api_path,twitter_name
12142,5526,"['Cameron Thomaz', 'Cameron Jibril Thomaz', 'Wizzle Man', 'Young Khalifa']",Wiz Khalifa,https://genius.com/artists/Wiz-khalifa,/artists/310,wizkhalifa
739,5460,"['Orenji', 'Renji', 'Symere “Lil Uzi Vert” Woods', 'Symere Woods', 'Lil Uzi', 'Steaktown Vertical', 'Symere Steaktown', 'Steaktown Zombiez Vertical', 'Lil Vert', 'Sealab Vertical', 'Sasuke']",Lil Uzi Vert,https://genius.com/artists/Lil-uzi-vert,/artists/217208,LILUZIVERT
10129,5453,"['Robyn Fenty', 'Robyn Rihanna Fenty', 'R. Fenty', 'Bad Girl Riri', 'Robyn R. Fenty']",Rihanna,https://genius.com/artists/Rihanna,/artists/89,Rihanna
2992,5204,"['TØP', 'TWENTY ØNE PILØTS']",​twenty one pilots,https://genius.com/artists/Twenty-one-pilots,/artists/23796,twentyonepilots
5892,5175,"['Gustav Elijah Åhr', 'Gustav E. Åhr', 'Trap Goose', 'Lil Bo Peep', 'Peep', 'Bo Peep', 'Gustav Åhr', 'Gustav Elijah', 'GOTH ANGEL SINNER', 'Hockiefan40', 'Lil Jeep', 'Beamer Boy', 'Gus Åhr', 'Gus E. Åhr', 'Gus Elijah Åhr', 'Lil Peep Shawty']",Lil Peep,https://genius.com/artists/Lil-peep,/artists/569922,lilpeep
406,5011,"['Austin Richard Post', 'Austin Post', 'Austin R. Post', 'Stoney Maloney']",Post Malone,https://genius.com/artists/Post-malone,/artists/326362,PostMalone
17429,4925,"['Nayvadius DeMun Cash', 'Future Hendrix', 'Big Pluto', 'Nayvadius Cash', 'Nayvadius DeMun Wilburn', 'Nayvadius Wilburn', 'Nayvadius D. Wilburn', 'Future Hndrxx', 'The Wizrd']",Future,https://genius.com/artists/Future,/artists/2197,1future
5063,4894,"['King WZRD', 'S. R. S. Mescudi', 'Scott R. S. Mescudi', 'Scott S. Mescudi', 'Scott R. Mescudi', 'Scott Ramon Mescudi', 'Scott Seguro Mescudi', 'Cud Life', 'King Cudi', 'Scott Mescudi', 'The Man on the Moon', 'Mr. Solo Dolo', 'Scott Ramon Seguro Mescudi', 'Cudi', 'Cudder', 'Mr. Rager', 'King Wizard']",Kid Cudi,https://genius.com/artists/Kid-cudi,/artists/68,KidCudi
6985,4869,"['Black Lip Bastard', 'Black Lip Pastor', 'Soul Brother #2', 'Herbert Anthony Stevens IV', 'Soulo Ho3']",Ab-Soul,https://genius.com/artists/Ab-soul,/artists/2049,abdashsoul
15928,4796,"['King Push', 'Terrence L. Thornton', 'Terrence LeVarr Thornton', 'Terrence Thornton', 'Terrar']",Pusha T,https://genius.com/artists/Pusha-t,/artists/643,PUSHA_T
4510,4562,"['Lana Del Ray', 'Elizabeth Grant', 'Sparkle Jump Rope Queen', 'Lizzy Grant', 'May Jailer', 'Elizabeth Woolridge Grant']",Lana Del Rey,https://genius.com/artists/Lana-del-rey,/artists/15740,
10316,4534,"['Calvin Cordozar Broadus Jr.', 'Tha Doggfather', 'Snoop', 'Calvin Broadus', 'Calvin Broadus Jr.', 'Calvin C. Broadus Jr.', 'Calvin Cordazar Broadus Jr.', 'Snoopy Collins', 'Calvin Cordozar Broadus', 'Niggarachi', 'Niggaracci', 'Bigg Snoop Dogg', 'DJ Snoopadelic', 'Snoopzilla', 'Snoop Doggy Dogg']",Snoop Dogg,https://genius.com/artists/Snoop-dogg,/artists/46,SnoopDogg
5108,4509,"['Curtis James Jackson III', ""Curtis '50 Cent' Jackson"", 'Curtis Jackson']",50 Cent,https://genius.com/artists/50-cent,/artists/108,50cent
881,4401,['1D'],One Direction,https://genius.com/artists/One-direction,/artists/19657,onedirection
13367,4394,"['Edward C. Sheeran', 'Edward Christopher Sheeran', 'Edward Sheeran']",Ed Sheeran,https://genius.com/artists/Ed-sheeran,/artists/12418,edsheeran
